text,label
"Government launches new education policy for students.",REAL
"Scientists discover a new species in the Amazon rainforest.",REAL
"India wins the ICC Cricket World Cup final.",REAL
"New AI technology helps doctors detect cancer early.",REAL
"NASA announces successful Mars rover mission.",REAL
"Government introduces free healthcare scheme.",REAL
"Researchers develop eco-friendly battery technology.",REAL
"Heavy rainfall expected across Telangana this week.",REAL
"University announces scholarship program for students.",REAL
"New metro line inaugurated in Hyderabad.",REAL
"Aliens landed in Hyderabad yesterday and met officials.",FAKE
"Drinking petrol cures all diseases instantly.",FAKE
"Moon is made entirely of cheese, scientists confirm.",FAKE
"Dinosaurs found alive in a secret underground city.",FAKE
"Humans can survive without sleep for one year.",FAKE
"Government announces free luxury cars for every citizen.",FAKE
"Chocolate grows naturally in Antarctica.",FAKE
"Invisible dragons spotted flying over Mumbai.",FAKE
"Earth will stop rotating tomorrow at noon.",FAKE
"Sun rises from the west starting next week.",FAKE
